id,title,tags,cluster
339,Night on Earth,"Comedy, Drama, Alan Randolph Scott, Roberto Benigni, Armin Mueller-Stahl, Jim Jarmusch",6
340,Everything Is Illuminated,"Comedy, Drama, Lukáš Král, Elijah Wood, Laryssa Lauret, Liev Schreiber",6
342,Summer Storm,"Comedy, Drama, Tristano Casanova, Miriam Morgenstern, Michael Wiesner, Marco Kreuzpaintner",6
345,Eyes Wide Shut,"Drama, Thriller, Mystery, Todd Field, Emilio D'Alessandro, Sam Heydon, Stanley Kubrick",3
346,Seven Samurai,"Action, Drama, Kamatari Fujiwara, Sachio Sakai, Toku Ihara, Akira Kurosawa",3
348,Alien,"Horror, Science Fiction, Sigourney Weaver, Veronica Cartwright, Helen Horton, Ridley Scott",4
350,The Devil Wears Prada,"Drama, Comedy, Alyssa Sutherland, Rich Sommer, Steve Benisty, David Frankel",6
364,Batman Returns,"Action, Fantasy, Gregory Scott Cummins, Pat Hingle, Sean Whalen, Tim Burton",1
377,A Nightmare on Elm Street,"Horror, Ronee Blakley, Carol Pritikin, Shashawnee Hall, Wes Craven",3
378,Raising Arizona,"Comedy, Crime, Margaret H. McCormack, Holly Hunter, Richard Blake, Joel Coen",6
379,Miller's Crossing,"Drama, Thriller, Crime, Lanny Flaherty, John Turturro, Monte Starr, Joel Coen",2
380,Rain Man,"Drama, Nick Mazzola, Mark Winn, Jill Senter, Barry Levinson",3
381,To Catch a Thief,"Mystery, Romance, Thriller, Bernard Sell, William 'Wee Willie' Davis, John Williams, Alfred Hitchcock",0
387,Das Boot,"Drama, History, War, Herbert Grönemeyer, Bernd Tauber, Martin Hemme, Wolfgang Petersen",3
388,Inside Man,"Crime, Drama, Thriller, Amir Ali Said, Jason Manuel Olazabal, Michal Sinnott, Spike Lee",2
389,12 Angry Men,"Drama, Jack Warden, Billy Nelson, John Savoca, Sidney Lumet",3
